URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_29.html,2024.1.20240120,active,"1.2.840.10008.6.1.19",AcquisitionModality,null,"Transitive closure of CID 29 AcquisitionModality","StructureDefinition/imaging-study","DICOM"
http://fhir.health.gov.lk/ips/ValueSet/vs-cvd-risk-category,0.1.0,active,,VSCVDRiskCategory,Cardiovascular Risk Categories,"Cardiovascular risk is expressed as a percentage","StructureDefinition/cvd-risk-category","Internal"
http://fhir.health.gov.lk/ips/ValueSet/vs-device-classification,0.1.0,active,,VSDeviceClassificationCodes,Device Classification Codes,"A list of device device classification codes.","StructureDefinition/device-information","Internal"
http://fhir.health.gov.lk/ips/ValueSet/vs-follow-up-plan,0.1.0,active,,VSFollowUpPlan,Follow-up plan,"Follow-up plan","StructureDefinition/follow-up-plan","SCT"
http://fhir.health.gov.lk/ips/ValueSet/vs-follow-up-reasons,0.1.0,active,,VSFollowUpReasons,Follow up at HLC,"Follow up at Healthy Lifestyle Center","StructureDefinition/follow-up-plan","SCT,Internal"
http://fhir.health.gov.lk/ips/ValueSet/vs-identifier-types,0.1.0,active,,VSIdentifierTypes,Patient Business Identifier Types,"Patient Business Identifier Types","StructureDefinition/ips-patient","Internal"
http://fhir.health.gov.lk/ips/ValueSet/vs-investigation,0.1.0,active,,VSInvestigations,Investigations,"Investigations","StructureDefinition/investigations-request","Internal"
http://fhir.health.gov.lk/ips/ValueSet/vs-medical-conditions,0.1.0,active,,VSMedicalConditions,Conditions,"Represents previous, pre-existing and new conditions.","StructureDefinition/medical-history","SCT"
http://fhir.health.gov.lk/ips/ValueSet/vs-medication-name-msd,0.1.0,active,,VSMedicationNamesForMSD,Medication Names For Pharmacy,"A list of typical medications that can be prescribed to the patient.","StructureDefinition/drug-dispensation,StructureDefinition/medication-request","Internal"
http://fhir.health.gov.lk/ips/ValueSet/vs-medication-name-non-msd,0.1.0,active,,VSMedicationNamesForNonMSD,Medication Names Not For Pharmacy,"A list of medications that typically are not prescribed for collection at the pharamcy a.k.a. Non-Medical Supplies.",,"Internal"
http://fhir.health.gov.lk/ips/ValueSet/vs-procedure,0.1.0,active,,VSProcedures,Procedures,"Procedures","StructureDefinition/procedures-request","Internal"
http://fhir.health.gov.lk/ips/ValueSet/vs-procedure-imaging,0.1.0,active,,VSImagingProcedures,Procedures,"Imaging Procedures","StructureDefinition/imaging-request","Internal"
http://fhir.health.gov.lk/ips/ValueSet/vs-reason-for-encounter,0.1.0,active,,VSReasonForEncounter,Reason For Encounter,"Encounter reasons.","StructureDefinition/target-facility-encounter","SCT"
http://fhir.health.gov.lk/ips/ValueSet/vs-risk-behaviour-physical-activity,0.1.0,active,,VSRiskBehaviourPhysicalActivity,Physical Activity,"Physical Activity Status","StructureDefinition/risk-behaviour-physical-activity","SCT"
http://hl7.org/fhir/ValueSet/additional-instruction-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.95",SNOMEDCTAdditionalDosageInstructions,SNOMED CT Additional Dosage Instructions,"This value set includes all SNOMED CT Additional Dosage Instructions.","StructureDefinition/medication-request,StructureDefinition/no-medication-requested","SCT"
http://hl7.org/fhir/ValueSet/address-type,4.0.1,active,"2.16.840.1.113883.4.642.3.69",AddressType,AddressType,"The type of an address (physical / postal).","StructureDefinition/ips-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/address-use,4.0.1,active,"2.16.840.1.113883.4.642.3.67",AddressUse,AddressUse,"The use of an address.","StructureDefinition/ips-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/administration-method-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.97",SNOMEDCTAdministrationMethodCodes,SNOMED CT Administration Method Codes,"This value set includes some method codes from SNOMED CT - provided as an exemplar","StructureDefinition/medication-request,StructureDefinition/no-medication-requested","SCT"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/practitioner,StructureDefinition/patient-identity-cross-reference,StructureDefinition/ips-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergy-intolerance-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.133",AllergyIntoleranceCategory,AllergyIntoleranceCategory,"Category of an identified substance associated with allergies or intolerances.","StructureDefinition/allergy-intolerance,StructureDefinition/no-allergy-intolerance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality,4.0.1,draft,"2.16.840.1.113883.4.642.3.129",AllergyIntoleranceCriticality,AllergyIntoleranceCriticality,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","StructureDefinition/allergy-intolerance,StructureDefinition/no-allergy-intolerance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergy-intolerance-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.131",AllergyIntoleranceType,AllergyIntoleranceType,"Identification of the underlying physiological mechanism for a Reaction Risk.","StructureDefinition/allergy-intolerance,StructureDefinition/no-allergy-intolerance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergyintolerance-clinical,4.0.1,draft,"2.16.840.1.113883.4.642.3.1372",AllergyIntoleranceClinicalStatusCodes,AllergyIntolerance Clinical Status Codes,"Preferred value set for AllergyIntolerance Clinical Status.","StructureDefinition/allergy-intolerance,StructureDefinition/no-allergy-intolerance","THO"
http://hl7.org/fhir/ValueSet/allergyintolerance-verification,4.0.1,draft,"2.16.840.1.113883.4.642.3.1370",AllergyIntoleranceVerificationStatusCodes,AllergyIntolerance Verification Status Codes,"Preferred value set for AllergyIntolerance Verification Status.","StructureDefinition/allergy-intolerance,StructureDefinition/no-allergy-intolerance","THO"
http://hl7.org/fhir/ValueSet/approach-site-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.346",SNOMEDCTAnatomicalStructureForAdministrationSiteCodes,SNOMED CT Anatomical Structure for Administration Site Codes,"This value set includes Anatomical Structure codes from SNOMED CT - provided as an exemplar.","StructureDefinition/medication-request,StructureDefinition/no-medication-requested","SCT"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/procedures-request,StructureDefinition/risk-behaviour-tobacco-smoker,StructureDefinition/no-medical-history,StructureDefinition/bmi,StructureDefinition/random-blood-sugar,StructureDefinition/medical-history,StructureDefinition/risk-behaviour-physical-activity,StructureDefinition/fasting-blood-sugar,StructureDefinition/imaging-request,StructureDefinition/height,StructureDefinition/generic-observation,StructureDefinition/generic-service-request,StructureDefinition/investigations-request,StructureDefinition/general-referral-request,StructureDefinition/imaging-study,StructureDefinition/blood-pressure,StructureDefinition/weight,StructureDefinition/total-cholesterol,StructureDefinition/follow-up-plan","SCT"
http://hl7.org/fhir/ValueSet/bodysite-laterality,4.0.1,draft,"2.16.840.1.113883.4.642.3.287",Laterality,Laterality,"Laterality: SNOMED-CT concepts for 'left', 'right', and 'bilateral'","StructureDefinition/imaging-study","SCT"
http://hl7.org/fhir/ValueSet/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.3.620",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","StructureDefinition/hims-transactional-bundle,StructureDefinition/hims-ips-bundle,StructureDefinition/hhims-transactional-bundle,StructureDefinition/hhims-ips-bundle","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/care-plan-activity-kind,4.0.1,draft,"2.16.840.1.113883.4.642.3.145",CarePlanActivityKind,Care Plan Activity Kind,"Resource types defined as part of FHIR that can be represented as in-line definitions of a care plan activity.","StructureDefinition/follow-up-at-hlc","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/care-plan-activity-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.149",CarePlanActivityOutcome,Care Plan Activity Outcome,"Example codes indicating the outcome of a care plan activity. Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/follow-up-at-hlc","SCT"
http://hl7.org/fhir/ValueSet/care-plan-activity-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.146",CarePlanActivityStatus,CarePlanActivityStatus,"Codes that reflect the current state of a care plan activity within its overall life cycle.","StructureDefinition/follow-up-at-hlc","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/care-plan-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.148",CarePlanCategory,Care Plan Category,"Example codes indicating the category a care plan falls within.  Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/follow-up-at-hlc","SCT"
http://hl7.org/fhir/ValueSet/care-plan-intent,4.0.1,draft,"2.16.840.1.113883.4.642.3.150",CarePlanIntent,Care Plan Intent,"Codes indicating the degree of authority/intentionality associated with a care plan.","StructureDefinition/follow-up-at-hlc","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/clinical-findings,4.0.1,draft,"2.16.840.1.113883.4.642.3.232",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/notifiable-diseases-notified,StructureDefinition/follow-up-at-hlc","SCT"
http://hl7.org/fhir/ValueSet/communication-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.172",CommunicationCategory,CommunicationCategory,"Codes for general categories of communications such as alerts, instructions, etc.","StructureDefinition/notifiable-diseases-notified","THO"
http://hl7.org/fhir/ValueSet/communication-not-done-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.174",CommunicationNotDoneReason,CommunicationNotDoneReason,"Codes for the reason why a communication did not happen.","StructureDefinition/notifiable-diseases-notified","THO"
http://hl7.org/fhir/ValueSet/communication-topic,4.0.1,draft,"2.16.840.1.113883.4.642.3.983",CommunicationTopic,CommunicationTopic,"Codes describing the purpose or content of the communication.","StructureDefinition/notifiable-diseases-notified","THO"
http://hl7.org/fhir/ValueSet/composition-attestation-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.238",CompositionAttestationMode,CompositionAttestationMode,"The way in which a person authenticated a composition.","StructureDefinition/hhims-composition,StructureDefinition/hims-composition","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.241",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","StructureDefinition/hhims-composition,StructureDefinition/hims-composition","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/condition-clinical,4.0.1,draft,"2.16.840.1.113883.4.642.3.164",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","StructureDefinition/no-medical-history,StructureDefinition/medical-history","THO"
http://hl7.org/fhir/ValueSet/condition-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.161",Condition/Problem/DiagnosisCodes,Condition/Problem/Diagnosis Codes,"Example value set for Condition/Problem/Diagnosis codes.","StructureDefinition/medication-request,StructureDefinition/no-medication-requested","SCT"
http://hl7.org/fhir/ValueSet/condition-severity,4.0.1,draft,"2.16.840.1.113883.4.642.3.168",Condition/DiagnosisSeverity,Condition/Diagnosis Severity,"Preferred value set for Condition/Diagnosis severity grading.","StructureDefinition/no-medical-history,StructureDefinition/medical-history","SCT"
http://hl7.org/fhir/ValueSet/condition-stage,4.0.1,draft,"2.16.840.1.113883.4.642.3.170",ConditionStage,Condition Stage,"Example value set for stages of cancer and other conditions.","StructureDefinition/no-medical-history,StructureDefinition/medical-history","SCT"
http://hl7.org/fhir/ValueSet/condition-stage-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.171",ConditionStageType,Condition Stage Type,"Example value set for the type of stages of cancer and other conditions","StructureDefinition/no-medical-history,StructureDefinition/medical-history","SCT"
http://hl7.org/fhir/ValueSet/condition-ver-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.166",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","StructureDefinition/no-medical-history,StructureDefinition/medical-history","THO"
http://hl7.org/fhir/ValueSet/contactentity-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.416",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","StructureDefinition/organization","THO"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/risk-behaviour-physical-activity,StructureDefinition/risk-behaviour-tobacco-smoker,StructureDefinition/fasting-blood-sugar,StructureDefinition/height,StructureDefinition/generic-observation,StructureDefinition/bmi,StructureDefinition/random-blood-sugar,StructureDefinition/blood-pressure,StructureDefinition/weight,StructureDefinition/total-cholesterol","THO"
http://hl7.org/fhir/ValueSet/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.3.512",DaysOfWeek,DaysOfWeek,"The days of the week.","StructureDefinition/providers-location,StructureDefinition/medication-request,StructureDefinition/follow-up-plan","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/device-nametype,4.0.1,draft,"2.16.840.1.113883.4.642.3.1083",DeviceNameType,DeviceNameType,"The type of name the device is referred by.","StructureDefinition/device-information","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/device-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.209",FHIRDeviceStatus,FHIRDeviceStatus,"The availability status of the device.","StructureDefinition/device-information","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/device-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.1081",FHIRDeviceStatusReason,FHIRDeviceStatusReason,"The availability status reason of the device.","StructureDefinition/device-information","THO"
http://hl7.org/fhir/ValueSet/device-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.1376",DeviceType,Device Type,"Codes used to identify medical devices. Includes concepts from SNOMED CT (http://www.snomed.org/) where concept is-a 49062001 (Device)  and is provided as a suggestive example.","StructureDefinition/device-information","SCT"
http://hl7.org/fhir/ValueSet/diagnosis-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.49",DiagnosisRole,DiagnosisRole,"This value set defines a set of codes that can be used to express the role of a diagnosis on the Encounter or EpisodeOfCare record.","StructureDefinition/target-facility-encounter","THO"
http://hl7.org/fhir/ValueSet/doc-section-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.237",DocumentSectionCodes,Document Section Codes,"Document section codes (LOINC codes used in CCDA sections).","StructureDefinition/hhims-composition,StructureDefinition/hims-composition","LOINC"
http://hl7.org/fhir/ValueSet/doc-typecodes,4.0.1,draft,"2.16.840.1.113883.4.642.3.240",FHIRDocumentTypeCodes,FHIR Document Type Codes,"FHIR Document Codes - all LOINC codes where scale type = 'DOC'.","StructureDefinition/hhims-composition,StructureDefinition/hims-composition","LOINC"
http://hl7.org/fhir/ValueSet/document-classcodes,4.0.1,active,"2.16.840.1.113883.3.88.12.80.46",DocumentClassValueSet,Document Class Value Set,"This is the code specifying the high-level kind of document (e.g. Prescription, Discharge Summary, Report, etc.). Note: Class code for documents comes from LOINC, and is based upon one of the following:The type of service described by the document. It is described at a very high level in Section 7.3 of the LOINC Manual. The type study performed. It was determined by identifying modalities for study reports. The section of the chart where the document is placed. It was determined from the SETs created for Claims Attachment requests.","StructureDefinition/hhims-composition,StructureDefinition/hims-composition","LOINC"
http://hl7.org/fhir/ValueSet/document-relationship-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.244",DocumentRelationshipType,DocumentRelationshipType,"The type of relationship between documents.","StructureDefinition/hhims-composition,StructureDefinition/hims-composition","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/dose-rate-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.981",DoseAndRateType,DoseAndRateType,"The kind of dose or rate specified.","StructureDefinition/medication-request,StructureDefinition/no-medication-requested","THO"
http://hl7.org/fhir/ValueSet/encounter-admit-source,4.0.1,draft,"2.16.840.1.113883.4.642.3.257",AdmitSource,Admit source,"This value set defines a set of codes that can be used to indicate from where the patient came in.","StructureDefinition/target-facility-encounter","THO"
http://hl7.org/fhir/ValueSet/encounter-diet,4.0.1,draft,"2.16.840.1.113883.4.642.3.255",Diet,Diet,"This value set defines a set of codes that can be used to indicate dietary preferences or restrictions a patient may have.","StructureDefinition/target-facility-encounter","THO"
http://hl7.org/fhir/ValueSet/encounter-discharge-disposition,4.0.1,draft,"2.16.840.1.113883.4.642.3.259",DischargeDisposition,Discharge disposition,"This value set defines a set of codes that can be used to where the patient left the hospital.","StructureDefinition/target-facility-encounter","THO"
http://hl7.org/fhir/ValueSet/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.262",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","StructureDefinition/target-facility-encounter","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-participant-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.250",ParticipantType,Participant type,"This value set defines a set of codes that can be used to indicate how an individual participates in an encounter.","StructureDefinition/target-facility-encounter","THO (V3),THO"
http://hl7.org/fhir/ValueSet/encounter-special-arrangements,4.0.1,draft,"2.16.840.1.113883.4.642.3.253",SpecialArrangements,Special arrangements,"This value set defines a set of codes that can be used to indicate the kinds of special arrangements in place for a patients visit.","StructureDefinition/target-facility-encounter","THO"
http://hl7.org/fhir/ValueSet/encounter-special-courtesy,4.0.1,draft,"2.16.840.1.113883.4.642.3.252",SpecialCourtesy,Special courtesy,"This value set defines a set of codes that can be used to indicate special courtesies provided to the patient.","StructureDefinition/target-facility-encounter","THO (V3)"
http://hl7.org/fhir/ValueSet/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.246",EncounterStatus,EncounterStatus,"Current state of the encounter.","StructureDefinition/target-facility-encounter","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.248",EncounterType,Encounter type,"This example value set defines a set of codes that can be used to indicate the type of encounter: a specific code indicating type of service provided.","StructureDefinition/target-facility-encounter","THO"
http://hl7.org/fhir/ValueSet/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.109",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","StructureDefinition/notifiable-diseases-notified","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/event-timing,4.0.1,active,"2.16.840.1.113883.4.642.3.75",EventTiming,EventTiming,"Real world event relating to the schedule.","StructureDefinition/medication-request,StructureDefinition/follow-up-plan","THO (V3),hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.3.624",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","StructureDefinition/hims-transactional-bundle,StructureDefinition/hims-ips-bundle,StructureDefinition/hhims-transactional-bundle,StructureDefinition/hhims-ips-bundle","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/hhims-composition,StructureDefinition/providers-location,StructureDefinition/device-information,StructureDefinition/organization,StructureDefinition/hims-transactional-bundle,StructureDefinition/hims-ips-bundle,StructureDefinition/medication-request,StructureDefinition/hhims-transactional-bundle,StructureDefinition/hims-composition,StructureDefinition/hhims-ips-bundle,StructureDefinition/ips-patient","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/hhims-composition,StructureDefinition/providers-location,StructureDefinition/device-information,StructureDefinition/organization,StructureDefinition/hims-transactional-bundle,StructureDefinition/hims-ips-bundle,StructureDefinition/medication-request,StructureDefinition/hhims-transactional-bundle,StructureDefinition/hims-composition,StructureDefinition/hhims-ips-bundle,StructureDefinition/ips-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/imagingstudy-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.990",ImagingStudyStatus,ImagingStudyStatus,"The status of the ImagingStudy.","StructureDefinition/imaging-study","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/allergy-intolerance,StructureDefinition/risk-behaviour-tobacco-smoker,StructureDefinition/hhims-composition,StructureDefinition/providers-location,StructureDefinition/patient-identity-cross-reference,StructureDefinition/bmi,StructureDefinition/medical-history,StructureDefinition/ips-patient,StructureDefinition/fasting-blood-sugar,StructureDefinition/height,StructureDefinition/generic-service-request,StructureDefinition/target-facility-encounter,StructureDefinition/drug-dispensation,StructureDefinition/investigations-request,StructureDefinition/total-cholesterol,StructureDefinition/follow-up-plan,StructureDefinition/generic-task,StructureDefinition/cvd-risk-category,StructureDefinition/procedures-request,StructureDefinition/practitioner,StructureDefinition/hims-ips-bundle,StructureDefinition/no-medical-history,StructureDefinition/no-allergy-intolerance,StructureDefinition/medication-request,StructureDefinition/random-blood-sugar,StructureDefinition/follow-up-at-hlc,StructureDefinition/hhims-transactional-bundle,StructureDefinition/hhims-ips-bundle,StructureDefinition/risk-behaviour-physical-activity,StructureDefinition/imaging-request,StructureDefinition/organization,StructureDefinition/device-information,StructureDefinition/hims-transactional-bundle,StructureDefinition/generic-observation,StructureDefinition/general-referral-request,StructureDefinition/imaging-study,StructureDefinition/blood-pressure,StructureDefinition/no-medication-requested,StructureDefinition/notifiable-diseases-notified,StructureDefinition/weight,StructureDefinition/hims-composition,StructureDefinition/referral-task","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/patient-identity-cross-reference,StructureDefinition/ips-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/list-empty-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.322",ListEmptyReasons,List Empty Reasons,"General reasons for a list to be empty. Reasons are either related to a summary list (i.e. problem or medication list) or to a workflow related list (i.e. consultation list).","StructureDefinition/hhims-composition,StructureDefinition/hims-composition","THO"
http://hl7.org/fhir/ValueSet/list-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.318",ListMode,ListMode,"The processing mode that applies to this list.","StructureDefinition/hhims-composition,StructureDefinition/hims-composition","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/list-order,4.0.1,draft,"2.16.840.1.113883.4.642.3.324",ListOrderCodes,List Order Codes,"Base values for the order of the items in a list resource.","StructureDefinition/hhims-composition,StructureDefinition/hims-composition","THO"
http://hl7.org/fhir/ValueSet/location-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.330",LocationMode,LocationMode,"Indicates whether a resource instance represents a specific location or a class of locations.","StructureDefinition/providers-location","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/location-physical-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.328",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.","StructureDefinition/providers-location,StructureDefinition/target-facility-encounter","THO"
http://hl7.org/fhir/ValueSet/location-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.332",LocationStatus,LocationStatus,"Indicates whether the location is still in use.","StructureDefinition/providers-location","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/manifestation-or-symptom,4.0.1,draft,"2.16.840.1.113883.4.642.3.169",ManifestationAndSymptomCodes,Manifestation and Symptom Codes,"Example value set for Manifestation and Symptom codes.","StructureDefinition/no-medical-history,StructureDefinition/medical-history","SCT"
http://hl7.org/fhir/ValueSet/marital-status,4.0.1,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/patient-identity-cross-reference,StructureDefinition/ips-patient","THO (V3)"
http://hl7.org/fhir/ValueSet/medication-as-needed-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.96",SNOMEDCTMedicationAsNeededReasonCodes,SNOMED CT Medication As Needed Reason Codes,"This value set includes all clinical findings from SNOMED CT - provided as an exemplar value set.","StructureDefinition/procedures-request,StructureDefinition/imaging-request,StructureDefinition/generic-service-request,StructureDefinition/investigations-request,StructureDefinition/medication-request,StructureDefinition/general-referral-request,StructureDefinition/no-medication-requested,StructureDefinition/follow-up-plan","SCT"
