URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/medication-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.375",SNOMEDCTMedicationCodes,SNOMED CT Medication Codes,"This value set includes all drug or medicament substance codes and all pharmaceutical/biologic products from SNOMED CT - provided as an exemplar value set.","StructureDefinition/drug-dispensation,StructureDefinition/follow-up-at-hlc","SCT"
http://hl7.org/fhir/ValueSet/medicationdispense-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.1314",MedicationDispense Category Codes,Medication dispense  category  codes,"MedicationDispense Category Codes","StructureDefinition/drug-dispensation","THO"
http://hl7.org/fhir/ValueSet/medicationdispense-performer-function,4.0.1,draft,"2.16.840.1.113883.4.642.3.1318",MedicationDispense Performer Function Codes,Medication dispense  performer  function  codes,"MedicationDispense Performer Function Codes","StructureDefinition/drug-dispensation","THO"
http://hl7.org/fhir/ValueSet/medicationdispense-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.1312",MedicationDispense Status Codes,Medication dispense  status  codes,"MedicationDispense Status Codes","StructureDefinition/drug-dispensation","THO"
http://hl7.org/fhir/ValueSet/medicationdispense-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.1316",MedicationDispense Status Reason Codes,Medication dispense  status  reason  codes,"MedicationDispense Status Codes","StructureDefinition/drug-dispensation","THO"
http://hl7.org/fhir/ValueSet/medicationrequest-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.1322",medicationRequest Category Codes,Medication request  category  codes,"MedicationRequest Category Codes","StructureDefinition/medication-request,StructureDefinition/no-medication-requested","THO"
http://hl7.org/fhir/ValueSet/medicationrequest-course-of-therapy,4.0.1,draft,"2.16.840.1.113883.4.642.3.1326",medicationRequest Course of Therapy Codes,Medication request  course of  therapy  codes,"MedicationRequest Course of Therapy Codes","StructureDefinition/medication-request,StructureDefinition/no-medication-requested","THO"
http://hl7.org/fhir/ValueSet/medicationrequest-intent,4.0.1,draft,"2.16.840.1.113883.4.642.3.1321",medicationRequest Intent,Medication request  intent,"MedicationRequest Intent Codes","StructureDefinition/medication-request,StructureDefinition/no-medication-requested","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/medicationrequest-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.1320",medicationrequest Status,Medicationrequest  status,"MedicationRequest Status Codes","StructureDefinition/medication-request,StructureDefinition/no-medication-requested","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/medicationrequest-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.1324",medicationRequest Status Reason Codes,Medication request  status  reason  codes,"MedicationRequest Status Reason Codes","StructureDefinition/medication-request,StructureDefinition/no-medication-requested","THO"
http://hl7.org/fhir/ValueSet/name-use,4.0.1,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/practitioner,StructureDefinition/ips-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/risk-behaviour-physical-activity,StructureDefinition/risk-behaviour-tobacco-smoker,StructureDefinition/fasting-blood-sugar,StructureDefinition/height,StructureDefinition/generic-observation,StructureDefinition/bmi,StructureDefinition/random-blood-sugar,StructureDefinition/blood-pressure,StructureDefinition/weight,StructureDefinition/total-cholesterol","THO"
http://hl7.org/fhir/ValueSet/observation-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/risk-behaviour-physical-activity,StructureDefinition/risk-behaviour-tobacco-smoker,StructureDefinition/fasting-blood-sugar,StructureDefinition/height,StructureDefinition/generic-observation,StructureDefinition/bmi,StructureDefinition/random-blood-sugar,StructureDefinition/blood-pressure,StructureDefinition/weight,StructureDefinition/total-cholesterol","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,4.0.1,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/risk-behaviour-physical-activity,StructureDefinition/risk-behaviour-tobacco-smoker,StructureDefinition/fasting-blood-sugar,StructureDefinition/height,StructureDefinition/generic-observation,StructureDefinition/bmi,StructureDefinition/random-blood-sugar,StructureDefinition/blood-pressure,StructureDefinition/weight,StructureDefinition/total-cholesterol","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,4.0.1,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/risk-behaviour-physical-activity,StructureDefinition/risk-behaviour-tobacco-smoker,StructureDefinition/fasting-blood-sugar,StructureDefinition/height,StructureDefinition/generic-observation,StructureDefinition/bmi,StructureDefinition/random-blood-sugar,StructureDefinition/blood-pressure,StructureDefinition/weight,StructureDefinition/total-cholesterol","SCT"
http://hl7.org/fhir/ValueSet/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.3.400",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","StructureDefinition/risk-behaviour-physical-activity,StructureDefinition/risk-behaviour-tobacco-smoker,StructureDefinition/fasting-blood-sugar,StructureDefinition/height,StructureDefinition/generic-observation,StructureDefinition/bmi,StructureDefinition/random-blood-sugar,StructureDefinition/blood-pressure,StructureDefinition/weight,StructureDefinition/total-cholesterol,StructureDefinition/cvd-risk-category","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/organization-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.414",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","StructureDefinition/organization","THO"
http://hl7.org/fhir/ValueSet/participant-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.152",ParticipantRoles,Participant Roles,"Roles of participants that may be included in a care team.  Defined as: Is a Person, Healthcare professional (occupation) or Healthcare related organization (qualifier value).","StructureDefinition/procedures-request,StructureDefinition/imaging-request,StructureDefinition/generic-service-request,StructureDefinition/investigations-request,StructureDefinition/general-referral-request,StructureDefinition/follow-up-plan","SCT"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,4.0.1,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship ,"The nature of the relationship between the patient and the contact person.","StructureDefinition/patient-identity-cross-reference,StructureDefinition/ips-patient","THO (V2)"
http://hl7.org/fhir/ValueSet/performer-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.433",ProcedurePerformerRoleCodes,Procedure Performer Role Codes,"This example value set defines the set of codes that can be used to indicate a role of a procedure performer.","StructureDefinition/medication-request,StructureDefinition/no-medication-requested,StructureDefinition/referral-task,StructureDefinition/generic-task","SCT"
http://hl7.org/fhir/ValueSet/procedure-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.427",ProcedureCodes(SNOMEDCT),Procedure Codes (SNOMED CT),"Procedure Code: All SNOMED CT procedure codes.","StructureDefinition/generic-service-request,StructureDefinition/general-referral-request,StructureDefinition/follow-up-at-hlc","SCT"
http://hl7.org/fhir/ValueSet/procedure-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.432",ProcedureReasonCodes,Procedure Reason Codes,"This example value set defines the set of codes that can be used to indicate a reason for a procedure.","StructureDefinition/procedures-request,StructureDefinition/imaging-request,StructureDefinition/generic-service-request,StructureDefinition/investigations-request,StructureDefinition/general-referral-request,StructureDefinition/imaging-study","SCT"
http://hl7.org/fhir/ValueSet/quantity-comparator,4.0.1,active,"2.16.840.1.113883.4.642.3.59",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","StructureDefinition/fasting-blood-sugar,StructureDefinition/height,StructureDefinition/bmi,StructureDefinition/random-blood-sugar,StructureDefinition/blood-pressure,StructureDefinition/weight,StructureDefinition/total-cholesterol","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/reaction-event-severity,4.0.1,draft,"2.16.840.1.113883.4.642.3.135",AllergyIntoleranceSeverity,AllergyIntoleranceSeverity,"Clinical assessment of the severity of a reaction event as a whole, potentially considering multiple different manifestations.","StructureDefinition/allergy-intolerance,StructureDefinition/no-allergy-intolerance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/referencerange-appliesto,4.0.1,draft,"2.16.840.1.113883.4.642.3.407",ObservationReferenceRangeAppliesToCodes,Observation Reference Range Applies To Codes,"This value set defines a set of codes that can be used to indicate the particular target population the reference range applies to.","StructureDefinition/risk-behaviour-physical-activity,StructureDefinition/risk-behaviour-tobacco-smoker,StructureDefinition/fasting-blood-sugar,StructureDefinition/height,StructureDefinition/generic-observation,StructureDefinition/bmi,StructureDefinition/random-blood-sugar,StructureDefinition/blood-pressure,StructureDefinition/weight,StructureDefinition/total-cholesterol","SCT"
http://hl7.org/fhir/ValueSet/referencerange-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.3.397",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","StructureDefinition/risk-behaviour-physical-activity,StructureDefinition/risk-behaviour-tobacco-smoker,StructureDefinition/fasting-blood-sugar,StructureDefinition/height,StructureDefinition/generic-observation,StructureDefinition/bmi,StructureDefinition/random-blood-sugar,StructureDefinition/blood-pressure,StructureDefinition/weight,StructureDefinition/total-cholesterol","THO"
http://hl7.org/fhir/ValueSet/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.3.113",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","StructureDefinition/procedures-request,StructureDefinition/imaging-request,StructureDefinition/generic-service-request,StructureDefinition/investigations-request,StructureDefinition/general-referral-request,StructureDefinition/follow-up-plan","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.3.115",RequestPriority,Request priority,"The clinical priority of a diagnostic order.","StructureDefinition/procedures-request,StructureDefinition/imaging-request,StructureDefinition/generic-service-request,StructureDefinition/investigations-request,StructureDefinition/medication-request,StructureDefinition/general-referral-request,StructureDefinition/no-medication-requested,StructureDefinition/notifiable-diseases-notified,StructureDefinition/follow-up-plan,StructureDefinition/referral-task,StructureDefinition/generic-task","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.111",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","StructureDefinition/procedures-request,StructureDefinition/imaging-request,StructureDefinition/generic-service-request,StructureDefinition/investigations-request,StructureDefinition/general-referral-request,StructureDefinition/follow-up-at-hlc,StructureDefinition/follow-up-plan","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/resource-types,4.0.1,active,"2.16.840.1.113883.4.642.3.27",ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","StructureDefinition/allergy-intolerance,StructureDefinition/risk-behaviour-tobacco-smoker,StructureDefinition/hhims-composition,StructureDefinition/no-medical-history,StructureDefinition/no-allergy-intolerance,StructureDefinition/medication-request,StructureDefinition/bmi,StructureDefinition/random-blood-sugar,StructureDefinition/medical-history,StructureDefinition/risk-behaviour-physical-activity,StructureDefinition/fasting-blood-sugar,StructureDefinition/height,StructureDefinition/generic-observation,StructureDefinition/imaging-study,StructureDefinition/blood-pressure,StructureDefinition/no-medication-requested,StructureDefinition/weight,StructureDefinition/total-cholesterol,StructureDefinition/hims-composition","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/route-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.98",SNOMEDCTRouteCodes,SNOMED CT Route Codes,"This value set includes all Route codes from SNOMED CT - provided as an exemplar.","StructureDefinition/allergy-intolerance,StructureDefinition/no-allergy-intolerance","SCT"
http://hl7.org/fhir/ValueSet/search-entry-mode,4.0.1,active,"2.16.840.1.113883.4.642.3.622",SearchEntryMode,SearchEntryMode,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement, or to convey information or warning information about the search process.","StructureDefinition/hims-transactional-bundle,StructureDefinition/hims-ips-bundle,StructureDefinition/hhims-transactional-bundle,StructureDefinition/hhims-ips-bundle","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/series-performer-function,4.0.1,draft,"2.16.840.1.113883.4.642.3.989",ImagingStudySeriesPerformerFunction,ImagingStudy series performer function,"Performer function of an agent in an imaging study series","StructureDefinition/imaging-study","THO (V3)"
http://hl7.org/fhir/ValueSet/service-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.518",ServiceType,Service type,"This value set defines an example set of codes of service-types.","StructureDefinition/target-facility-encounter","THO"
http://hl7.org/fhir/ValueSet/servicerequest-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.434",ServiceRequestCategoryCodes,Service Request Category Codes,"An example value set of SNOMED CT concepts that can classify a requested service","StructureDefinition/procedures-request,StructureDefinition/imaging-request,StructureDefinition/generic-service-request,StructureDefinition/investigations-request,StructureDefinition/general-referral-request,StructureDefinition/follow-up-plan","SCT"
http://hl7.org/fhir/ValueSet/servicerequest-orderdetail,4.0.1,draft,"2.16.840.1.113883.4.642.3.435",ServiceRequestOrderDetailsCodes,Service Request Order Details Codes,"An example value set of Codified order entry details concepts.  These concepts only make sense in the context of what is being ordered.  This example is for a patient ventilation order","StructureDefinition/procedures-request,StructureDefinition/imaging-request,StructureDefinition/generic-service-request,StructureDefinition/investigations-request,StructureDefinition/general-referral-request,StructureDefinition/follow-up-plan","SCT"
http://hl7.org/fhir/ValueSet/substance-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.473",SubstanceCode,Substance Code,"This value set contains concept codes for specific substances. It includes codes from [SNOMED](http://snomed.info/sct) where concept is-a 105590001 (Substance (substance)) and where concept is-a 373873005 (Pharmaceutical / biologic product (product))","StructureDefinition/allergy-intolerance,StructureDefinition/no-allergy-intolerance","SCT"
http://hl7.org/fhir/ValueSet/task-code,4.0.1,active,"2.16.840.1.113883.4.642.3.1396",TaskCode,Task Codes,"Codes indicating the type of action that is expected to be performed","StructureDefinition/referral-task,StructureDefinition/generic-task","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/task-intent,4.0.1,draft,"2.16.840.1.113883.4.642.3.1240",TaskIntent,TaskIntent,"Distinguishes whether the task is a proposal, plan or full order.","StructureDefinition/referral-task,StructureDefinition/generic-task","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/task-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.790",TaskStatus,TaskStatus,"The current status of the task.","StructureDefinition/referral-task,StructureDefinition/generic-task","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/timing-abbreviation,4.0.1,draft,"2.16.840.1.113883.4.642.3.78",TimingAbbreviation,TimingAbbreviation,"Code for a known / defined timing pattern.","StructureDefinition/medication-request,StructureDefinition/follow-up-plan","THO (V3)"
http://hl7.org/fhir/ValueSet/udi-entry-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.211",UDIEntryType,UDIEntryType,"Codes to identify how UDI data was entered.","StructureDefinition/device-information","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/units-of-time,4.0.1,active,"2.16.840.1.113883.4.642.3.77",UnitsOfTime,UnitsOfTime,"A unit of time (units from UCUM).","StructureDefinition/medication-request,StructureDefinition/follow-up-plan","UCUM"
http://hl7.org/fhir/uv/ips/ValueSet/allergy-intolerance-uv-ips,1.1.0,active,,AllergyIntoleranceUvIps,Allergy Intolerance - IPS,"IPS Allergy intolerance codes value set. This value set includes codes from SNOMED Clinical Terms®: all descendants of 373873005 \|Pharmaceutical / biologic product (product)\|; all descendants of 105590001 \|Substance (substance)\|; all descendants of 418038007 \|Propensity to adverse reactions to substance (finding)\| plus codes for absent and unknown allergies.","StructureDefinition/allergy-intolerance,StructureDefinition/no-allergy-intolerance",
http://hl7.org/fhir/uv/ips/ValueSet/allergy-reaction-snomed-ct-ips-free-set,1.1.0,active,,AllergyReactionSnomedCtIpsFreeSet,Allergy Reaction - SNOMED CT IPS Free Set,"IPS allergy reaction value set. This value set includes the codes from the SNOMED International Patient Set (IPS) subset of SNOMED CT (IPS Free Set) that may be used to represent allergy or intolerance reactions.","StructureDefinition/allergy-intolerance,StructureDefinition/no-allergy-intolerance","SCT"
http://hl7.org/fhir/uv/ips/ValueSet/medication-snomed-absent-unknown-uv-ips,1.1.0,active,,MedicationSnomedCodesAbsentUnknown,Medications - SNOMED CT + Absent/Unknown (IPS),"This value set includes the codes from SNOMED CT that are included in: descendants of 373873005 \|Pharmaceutical / biologic product (product)\|, excluding the descendants of 787859002 \|Vaccine product (medicinal product)\|, plus IPS codes for absent/unknown medications.","StructureDefinition/medication-request,StructureDefinition/no-medication-requested",
http://hl7.org/fhir/uv/ips/ValueSet/medicine-route-of-administration,1.1.0,active,,MedicineRouteOfAdministrationUvIps,Medicine Route of Administration - IPS,"EDQM (European Directorate for the Quality of Medicines and Healthcare) Route of Administration codes.  This Value Set includes all the EDQM Standard Terms having:   [Concept Status] = ‘Current’ AND   [Concept Class] = 'ROA' AND   [Domain] = 'Human and Veterinary'    ROA = 'Route of administration'","StructureDefinition/medication-request,StructureDefinition/no-medication-requested","Other"
http://hl7.org/fhir/uv/ips/ValueSet/problem-type-uv-ips,1.1.0,active,,ProblemTypeUvIps,Problem Type - IPS,"This value set provides a category for the condition as a clinical problem for inclusion in the patient summary.","StructureDefinition/no-medical-history,StructureDefinition/medical-history","THO"
http://hl7.org/fhir/uv/ips/ValueSet/problems-snomed-absent-unknown-uv-ips,1.1.0,active,,ProblemsSnomedAbsentUnknownUvIps,Problems - SNOMED CT + Absent/Unknown - IPS,"This value set includes codes from SNOMED Clinical Terms®:  descendants of 404684003 \|Clinical finding (finding) \|, descendants of 243796009 \|Situation with explicit context (situation)\| and descendants of 272379006 \|Event (event)\| but excludes descendants of 71388002 \|Procedure (procedure)\|, as they are expected to be represented separately in the History of Procedures Section.","StructureDefinition/no-medical-history",
http://hl7.org/fhir/uv/ips/ValueSet/results-coded-values-laboratory-uv-ips,1.1.0,active,,ResultsCodedValuesLaboratoryUvIps,Results Coded Values Laboratory - IPS,"This value set is defined as the union of: (a) Blood group [Type]; (b) Presence/Absence Indicators (2.16.840.1.113883.11.22.52) (c) Microorganisms (2.16.840.1.113883.11.22.49)","StructureDefinition/fasting-blood-sugar,StructureDefinition/random-blood-sugar,StructureDefinition/total-cholesterol",
http://hl7.org/fhir/uv/ips/ValueSet/results-laboratory-observations-uv-ips,1.1.0,active,,ResultsLaboratoryObservationUvIps,Results Laboratory Observation - IPS,"Value Set Definition: LOINC {STATUS in {ACTIVE}, CLASSTYPE in {1}, CLASS exclude {CHALSKIN, H&P.HX.LAB, LABORDERS, NR STATS, PATH, PATH.\*, MOLPATH, MOLPATH.\*, CYTO, HL7.CYTOGEN, HL7.GENETICS}}","StructureDefinition/fasting-blood-sugar,StructureDefinition/random-blood-sugar,StructureDefinition/total-cholesterol","LOINC"
http://hl7.org/fhir/uv/ips/ValueSet/results-radiology-observations-uv-ips,1.1.0,active,,ResultsRadiologyObservationUvIps,Results Radiology Observation - IPS,"  Value Set Definition:   LOINC {CLASS in {RAD}}    ","StructureDefinition/imaging-study","LOINC"
http://terminology.hl7.org/ValueSet/v2-0092,2.0.0,active,"2.16.840.1.113883.21.40",Hl7VSReAdmissionIndicator,hl7VS-re-admissionIndicator,"Value Set of codes which are used to specify that a patient is being re-admitted to a healthcare facility from which they were discharged, and indicates the circumstances around such re-admission.","StructureDefinition/target-facility-encounter","THO (V2)"
http://terminology.hl7.org/ValueSet/v2-0116,2.0.0,active,"2.16.840.1.113883.21.51",Hl7VSBedStatus,hl7VS-bedStatus,"Value Set of codes that specify the state of a bed in an inpatient setting, and is used to determine if a patient may be assigned to it or not.","StructureDefinition/providers-location","THO (V2)"
http://terminology.hl7.org/ValueSet/v2-2.7-0360,0360,active,,v2.0360.2.7,v2 table 0360, Version 2.7,"FHIR Value set/code system definition for HL7 v2 table 0360 ver 2.9 ( Degree/License/Certificate)","StructureDefinition/practitioner","THO (V2)"
http://terminology.hl7.org/ValueSet/v3-ActCode,2.0.0,active,,ActCode,v3 Code System ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.  Constraints:  The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems.  The coding system will depend on the class of Act, such as LOINC for observations, etc. Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure. Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","StructureDefinition/hhims-composition,StructureDefinition/hims-composition","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ActEncounterCode,2.0.0,active,"2.16.840.1.113883.1.11.13955",ActEncounterCode,ActEncounterCode,"Domain provides codes that qualify the ActEncounterClass (ENC)","StructureDefinition/target-facility-encounter","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ActPharmacySupplyType,2.0.0,active,"2.16.840.1.113883.1.11.16208",ActPharmacySupplyType,ActPharmacySupplyType,"Identifies types of dispensing events","StructureDefinition/drug-dispensation","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ActPriority,2.0.0,active,"2.16.840.1.113883.1.11.16866",ActPriority,ActPriority,"A code or set of codes (e.g., for routine, emergency,) specifying the urgency under which the Act happened, can happen, is happening, is intended to happen, or is requested/demanded to happen.    *Discussion:* This attribute is used in orders to indicate the ordered priority, and in event documentation it indicates the actual priority used to perform the act. In definition mood it indicates the available priorities.","StructureDefinition/target-facility-encounter","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ActSubstanceAdminSubstitutionCode,2.0.0,active,"2.16.840.1.113883.1.11.16621",ActSubstanceAdminSubstitutionCode,ActSubstanceAdminSubstitutionCode,"***No description***","StructureDefinition/drug-dispensation,StructureDefinition/medication-request,StructureDefinition/no-medication-requested","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ConfidentialityClassification,2014-03-26,active,"2.16.840.1.113883.1.11.10228",v3.ConfidentialityClassification,V3 Value SetConfidentialityClassification," Set of codes used to value Act.Confidentiality and Role.Confidentiality attribute in accordance with the definition for concept domain ""Confidentiality"".","StructureDefinition/hhims-composition,StructureDefinition/hims-composition","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ParticipationMode,2.0.0,active,"2.16.840.1.113883.1.11.16543",ParticipationMode,ParticipationMode,"Identifies the primary means by which an Entity participates in an Act.","StructureDefinition/notifiable-diseases-notified","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ServiceDeliveryLocationRoleType,2.0.0,active,"2.16.840.1.113883.1.11.17660",ServiceDeliveryLocationRoleType,ServiceDeliveryLocationRoleType,"A role of a place that further classifies the setting (e.g., accident site, road side, work site, community location) in which services are delivered.","StructureDefinition/procedures-request,StructureDefinition/providers-location,StructureDefinition/imaging-request,StructureDefinition/generic-service-request,StructureDefinition/investigations-request,StructureDefinition/general-referral-request,StructureDefinition/follow-up-plan","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-SubstanceAdminSubstitutionReason,2.0.0,active,"2.16.840.1.113883.1.11.19377",SubstanceAdminSubstitutionReason,SubstanceAdminSubstitutionReason,"***No description***","StructureDefinition/drug-dispensation,StructureDefinition/medication-request,StructureDefinition/no-medication-requested","THO (V3)"
